Date,Time,WindDir,WindSpd,WindGust,AirTemp,BaroPres,RelHum,WaterTemp,WaveHt,DomWavePeriod
2026-05-15,06:00:00,168.2, 13.5, 16.2, 27.6,1014.3, 78.6, 26.6,0.70, 7.7
2026-05-15,05:00:00,199.1, 13.0, 15.7, 27.1,1009.1, 76.2, 26.0,1.41, 5.9
2026-05-15,04:00:00,201.8, 13.9, 16.6, 25.2,1014.9, 87.2, 26.2,1.46, 7.1
2026-05-15,03:00:00,130.4, 15.8, 19.0, 26.0,1019.4, 88.6, 26.6,1.09, 8.8
2026-05-15,02:00:00,178.6,  6.3,  7.6, 26.3,1015.7, 65.7, 27.5,1.56, 8.8
2026-05-15,01:00:00,165.5,  8.8, 10.6, 27.6,1022.3, 74.9, 26.2,1.11, 8.0
2026-05-15,00:00:00,213.4, 14.7, 17.7, 28.9,1013.3, 66.0, 26.4,1.15, 8.0
2026-05-14,23:00:00,186.6, 18.9, 22.7, 26.0,1014.5, 87.3, 26.6,1.16, 6.9
2026-05-14,22:00:00,234.2, 11.9, 14.3, 24.7,1024.8, 68.4, 26.6,0.94, 7.6
2026-05-14,21:00:00,213.6, 11.9, 14.3, 24.8,1008.3, 71.3, 27.1,0.61, 6.9
2026-05-14,20:00:00,155.8, 14.1, 17.0, 24.8,1010.6, 73.6, 27.2,2.30, 8.2
2026-05-14,19:00:00,133.9,  7.0,  8.3, 25.8,1021.3, 81.6, 26.7,1.60, 8.4
2026-05-14,18:00:00,148.0, 17.8, 21.4, 26.7,1009.9, 66.9, 26.4,1.10, 5.6
2026-05-14,17:00:00,179.6, 15.1, 18.1, 24.7,1016.9, 90.3, 27.2,0.97, 6.7
2026-05-14,16:00:00,159.0, 11.6, 13.9, 23.4,1013.5, 87.4, 26.6,0.43, 6.9
2026-05-14,15:00:00,128.3, 16.4, 19.7, 26.3,1016.6, 80.4, 27.3,1.44, 5.4
2026-05-14,14:00:00,221.3, 14.5, 17.4, 25.7,1016.5, 64.9, 27.7,0.95, 8.6
2026-05-14,13:00:00,200.3, 10.5, 12.6, 25.2,1022.5, 55.3, 27.2,0.37, 5.8
2026-05-14,12:00:00,207.2, 19.6, 23.5, 23.0,1015.0, 68.8, 27.3,1.94, 7.7
2026-05-14,11:00:00,195.2, 13.7, 16.5, 24.4,1017.8, 84.2, 26.7,0.94, 8.4
2026-05-14,10:00:00,145.9, 12.8, 15.4, 25.4,1013.2, 74.4, 27.0,1.10, 8.7
2026-05-14,09:00:00,224.5, 15.3, 18.4, 23.5,1015.4, 86.7, 27.4,0.93, 6.2
2026-05-14,08:00:00,173.6, 15.8, 19.0, 27.0,1015.6, 73.8, 27.1,0.87, 8.7
2026-05-14,07:00:00,222.0, 14.2, 17.0, 25.2,1012.8, 71.8, 26.6,1.47, 7.7
2026-05-14,06:00:00,170.4,  9.9, 11.9, 26.6,1012.0, 70.9, 27.8,0.90, 6.5
2026-05-14,05:00:00,116.2, 22.0, 26.4, 24.2,1022.2, 70.9, 27.2,2.05, 6.3
2026-05-14,04:00:00,192.3,  9.6, 11.6, 25.9,1012.9, 73.7, 26.3,1.39, 7.8
2026-05-14,03:00:00,173.3, 11.4, 13.6, 26.8,1012.8, 71.9, 27.0,1.79, 7.0
2026-05-14,02:00:00,175.1, 11.5, 13.9, 25.4,1011.1, 65.8, 27.4,0.97, 7.1
2026-05-14,01:00:00,140.2, 10.1, 12.1, 25.3,1020.6, 70.9, 26.7,1.03, 6.7
2026-05-14,00:00:00,167.7, 12.9, 15.5, 25.9,1013.0, 78.6, 27.2,1.28, 7.6
2026-05-13,23:00:00,216.4, 11.6, 13.9, 26.7,1021.0, 74.2, 27.1,0.93, 7.0
2026-05-13,22:00:00,169.0, 15.3, 18.3, 28.2,1015.1, 90.8, 26.5,1.09, 6.5
2026-05-13,21:00:00,199.3, 16.0, 19.3, 25.9,1013.2, 74.7, 27.4,1.53, 6.9
2026-05-13,20:00:00,183.1, 10.2, 12.3, 26.2,1016.0, 70.5, 27.9,0.95, 8.5
2026-05-13,19:00:00,208.4, 17.6, 21.1, 28.8,1017.2, 71.8, 26.7,0.93, 7.8
2026-05-13,18:00:00,137.3,  6.1,  7.3, 28.3,1019.1, 79.1, 27.5,1.51, 6.8
2026-05-13,17:00:00,218.5,  6.1,  7.4, 26.7,1009.5, 76.4, 26.8,1.15, 6.7
2026-05-13,16:00:00,173.7, 14.2, 17.0, 24.3,1017.7, 79.9, 26.3,1.36, 7.9
2026-05-13,15:00:00,185.6, 11.4, 13.7, 24.9,1008.0, 80.2, 27.0,1.37, 6.8
2026-05-13,14:00:00,184.9, 11.0, 13.2, 25.9,1018.5, 70.8, 26.3,1.26, 5.7
2026-05-13,13:00:00,147.1,  1.9,  2.2, 25.3,1011.8, 59.6, 26.9,1.69, 7.8
