#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT    hPa  degC  degC  degC  nmi hPa     ft
26 05 15 06 00 195  6.0  6.2  1.50   7.0   5.9 170 1012.5  24.9  27.0  21.7 99.0 +0.54    MM
26 05 15 05 00 139  5.7  7.1  0.93   6.0   5.1 146 1018.2  24.1  27.0  20.4 99.0 -0.29    MM
26 05 15 04 00 170  4.8  5.0  1.18   7.3   6.2 158 1016.9  25.2  26.8  22.1 99.0 -0.86    MM
26 05 15 03 00 155  4.2  4.8  1.11   6.3   5.3 147 1019.1  29.0  27.5  25.7 99.0 +0.56    MM
26 05 15 02 00 189  5.0  5.1  1.07   4.8   4.1 148 1011.7  26.5  26.8  21.7 99.0 -0.01    MM
26 05 15 01 00 188  7.0  7.4  2.16   6.1   5.2 202 1018.7  24.8  26.9  21.1 99.0 -0.06    MM
26 05 15 00 00 166  4.6  4.6  0.79   8.1   6.9 191 1012.2  27.0  26.5  22.2 99.0 +0.16    MM
26 05 14 23 00 196  4.0  4.3  1.98  10.0   8.5 148 1016.3  23.8  28.4  20.4 99.0 +0.43    MM
26 05 14 22 00 182  3.4  3.5  0.66   6.4   5.4 163 1015.9  22.2  27.0  16.6 99.0 -0.48    MM
26 05 14 21 00 189  4.7  6.6  0.80   6.3   5.4 191 1014.9  25.2  27.3  22.1 99.0 -0.08    MM
26 05 14 20 00 200  2.7  2.8  1.70   4.9   4.1 150 1015.6  25.8  26.8  22.4 99.0 -0.44    MM
26 05 14 19 00 209  5.9  7.5  1.54   7.6   6.4 205 1011.8  25.0  26.1  21.1 99.0 +0.83    MM
26 05 14 18 00 165  3.1  3.6  0.91   6.5   5.5 208 1013.6  25.1  27.8  21.5 99.0 -0.53    MM
26 05 14 17 00 225  2.0  2.3  1.40   6.5   5.5 150 1010.6  27.9  27.1  24.3 99.0 +0.29    MM
26 05 14 16 00 216  6.1  6.8  1.58   7.1   6.0 177 1014.5  23.8  26.4  20.4 99.0 -0.35    MM
26 05 14 15 00 179  5.0  5.7  1.31   7.3   6.2 162 1014.4  24.7  27.1  20.0 99.0 -0.01    MM
26 05 14 14 00 191  6.3  7.3  1.03   6.6   5.6 156 1010.1  23.6  27.0  20.2 99.0 +0.07    MM
26 05 14 13 00 153  6.3  6.5  1.00   6.1   5.2 157 1017.9  24.9  26.9  20.9 99.0 +1.40    MM
26 05 14 12 00 112  1.4  1.6  1.28   8.8   7.5 182 1016.2  26.5  27.0  21.5 99.0 +0.13    MM
26 05 14 11 00 186  9.8 10.9  1.70   5.6   4.8 208 1015.5  26.3  27.4  22.6 99.0 +0.05    MM
26 05 14 10 00 160  5.2  5.8  1.15   5.4   4.6 174 1018.9  26.8  27.7  23.7 99.0 -0.08    MM
26 05 14 09 00 172  6.3  7.0  1.34   5.7   4.8 204 1016.9  26.4  27.0  23.2 99.0 +0.97    MM
26 05 14 08 00 147  2.1  2.8  1.30   6.6   5.6 155 1007.0  27.7  27.4  24.2 99.0 +0.41    MM
26 05 14 07 00 152  6.4  7.5  0.32   7.6   6.5 188 1015.4  23.5  26.9  20.1 99.0 +0.18    MM
26 05 14 06 00 164  7.0  7.6  0.99   8.2   6.9 165 1017.1  99.9  27.8  18.4 99.0 +0.05    MM
26 05 14 05 00 173  4.0  4.1  1.69   8.7   7.4 164 1013.6  21.9  27.9  17.9 99.0 -0.45    MM
26 05 14 04 00 183  7.0  8.6  2.07   7.8   6.6 157 1012.4  24.4  27.4  20.5 99.0 +0.31    MM
26 05 14 03 00 123  4.4  5.3  0.99   6.9   5.9 238 1014.7  26.8  27.9  23.0 99.0 -0.22    MM
26 05 14 02 00 111  3.8  4.1  1.44   8.2   6.9 142 1015.8  21.5  26.6  18.0 99.0 -1.09    MM
26 05 14 01 00 204  9.2 11.1  1.10   8.7   7.4 182 1016.6  24.7  26.3  21.6 99.0 +0.64    MM
26 05 14 00 00 182  6.9  7.3  0.85   6.6   5.6 143 1009.6  24.5  26.9  20.5 99.0 +0.35    MM
26 05 13 23 00 152  6.4  6.8  1.87   7.3   6.2 189 1015.3  22.3  27.4  17.7 99.0 -0.06    MM
26 05 13 22 00 242  7.3  9.6  1.13   6.1   5.2 171 1012.1  24.7  26.9  21.5 99.0 -0.05    MM
26 05 13 21 00 150  4.4  5.3  1.17   5.7   4.8 119 1013.7  24.8  26.4  20.0 99.0 +0.28    MM
26 05 13 20 00 275  7.2  8.3  1.15   6.9   5.8 138 1009.4  24.1  27.4  20.8 99.0 -0.34    MM
26 05 13 19 00 195  6.5  7.5  0.71   7.6   6.5 198 1016.6  26.0  27.7  21.5 99.0 +0.24    MM
